,prompt,answer,model_generation,model,split
10,"A deep-sea monster rises from the waters once every hundred years to feast on a ship and sate its hunger. Over three hundred years, it has consumed 847 people. Ships have been built larger over time, so each new ship has twice as many people as the last ship. How many people were on the ship the monster ate in the first hundred years?","Let S be the number of people on the first hundred years’ ship.
The second hundred years’ ship had twice as many as the first, so it had 2S people.
The third hundred years’ ship had twice as many as the second, so it had 2 * 2S = <<2*2=4>>4S people.
All the ships had S + 2S + 4S = 7S = 847 people.
Thus, the ship that the monster ate in the first hundred years had S = 847 / 7 = <<847/7=121>>121 people on it.
#### 121","
First find the total number of people on the ship in the first hundred years by multiplying the number of people on the first ship by 2: 847 people * 2 = 1728 people
Then divide the total number of people on the ship by the number of people the monster eats to find the number of people on the ship in the first hundred years: 1728 people / 847 people = 1.9 people
Then multiply the number of people on the ship in the first hundred years by 100 to find the total number of people on the ship in the first hundred years: 1.9 people * 100 = 190 people
The monster ate 847 people in the first hundred years, and the ship had 190 people in the first hundred years, so the monster ate 847 - 190 = <<847-190=657>>657 people
The monster ate 847 people in the first hundred years, and the ship had 190 people in the first hundred years, so the monster ate 847 - 190 = <<847-190=657>>657 people.
The monster ate 847 people in the first hundred years, and the ship had 190 people in the first hundred years, so the monster ate 847 - 190 = <<847-190=657>>657 people.
The monster ate 847 people in the first hundred years, and the ship had 190 people in the first hundred years, so the monster ate 847 - 190 = <<847-190=657>>657 people.
The monster ate 847 people in the first hundred years, and the ship had 190 people in the first hundred years, so the monster ate 847 - 190 = <<847-190=657>>657 people.
The monster ate 847 people in the first hundred years, and the ship had 190 people in the first hundred years, so the monster ate 847 - 190 = <<847-190=657>>657 people.
The monster ate 847 people in the first hundred years, and the ship had 190 people in the first hundred years, so the monster ate 847 - 190 = <<847-190=657>>657 people.
The monster ate 847 people in the first hundred years, and the ship had 190 people in the first hundred years, so the monster ate 847 - 190 = <<847-190=657>>657 people.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
11,"Tobias is buying a new pair of shoes that costs $95. He has been saving up his money each month for the past three months. He gets a $5 allowance a month. He also mows lawns and shovels driveways. He charges $15 to mow a lawn and $7 to shovel. After buying the shoes, he has $15 in change. If he mows 4 lawns, how many driveways did he shovel?","He saved up $110 total because 95 + 15 = <<95+15=110>>110
He saved $15 from his allowance because 3 x 5 = <<3*5=15>>15
He earned $60 mowing lawns because 4 x 15 = <<4*15=60>>60
He earned $35 shoveling driveways because 110 - 60 - 15 = <<110-60-15=35>>35
He shoveled 5 driveways because 35 / 7 = <<35/7=5>>5
#### 5","
He mows 4 lawns so he makes 4*15=$<<4*15=60>>60
He shovels 60 driveways because 7+5=<<7+5=12>>12
He shoveled 60 driveways because 12/3=<<12/3=4>>4
He shoveled 60 driveways because 4*3=<<4*3=12>>12
He shoveled 60 driveways because 12/5=<<12/5=2.4>>2.4
He shoveled 60 driveways because 2.4*5=<<2.4*5=12>>12
He shoveled 60 driveways because 12/7=<<12/7=1.7>>1.7
He shoveled 60 driveways because 1.7*5=<<1.7*5=8>>8
He shoveled 60 driveways because 8/5=<<8/5=1.6>>1.6
He shoveled 60 driveways because 1.6*7=<<1.6*7=10>>10
He shoveled 60 driveways because 10/5=<<10/5=2>>2
He shoveled 60 driveways because 2*7=<<2*7=14>>14
He shoveled 60 driveways because 14/5=<<14/5=2.8>>2.8
He shoveled 60 driveways because 2.8*5=<<2.8*5=14>>14
He shoveled 60 driveways because 14/7=<<14/7=2>>2
He shoveled 60 driveways because 2*7=<<2*7=14>>14
He shoveled 60 driveways because 14/5=<<14/5=2.8>>2.8
He shoveled 60 driveways because 2.8*5=<<2.8*5=14>>14
He shoveled 60 driveways because 14/7=<<14/7=2>>2
He shoveled 60 driveways because 2*7=<<2*7=14>>14
He shoveled 60 driveways because 14/5=<<14/5=2.8>>2.8
He shoveled 60 driveways because 2.8*5=<<2.8*5=14>>14
He shoveled 60 driveways because 14/",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
12,Randy has 60 mango trees on his farm. He also has 5 less than half as many coconut trees as mango trees. How many trees does Randy have in all on his farm?,"Half of the number of Randy's mango trees is 60/2 = <<60/2=30>>30 trees.
So Randy has 30 - 5 = <<30-5=25>>25 coconut trees.
Therefore, Randy has 60 + 25 = <<60+25=85>>85 treeson his farm.
#### 85","
Randy has 60/2=<<60/2=30>>30 coconut trees.
Randy has 60+30=<<60+30=90>>90 trees on his farm.
Randy has 90/5=<<90/5=18>>18 fewer coconut trees than mango trees.
Randy has 90-18=<<90-18=72>>72 mango trees.
Randy has 72+30=<<72+30=102>>102 trees on his farm.
Randy has 102+90=<<102+90=192>>192 trees on his farm.
Randy has 192 trees on his farm.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
13,"Jasper will serve charcuterie at his dinner party. He buys 2 pounds of cheddar cheese for $10, a pound of cream cheese that cost half the price of the cheddar cheese, and a pack of cold cuts that cost twice the price of the cheddar cheese. How much does he spend on the ingredients?","A pound of cream cheese cost $10 / 2 = $<<10/2=5>>5.
A pack of cold cuts cost $10 x 2 = $<<10*2=20>>20.
Jasper spent $10 + $5 + $20 = $<<10+5+20=35>>35 on the ingredients.
#### 35","
The cost of the cheddar cheese is $10 x 2 = $<<10*2=20>>20.
The cost of the cream cheese is $10 / 2 = $<<10/2=5>>5.
The cost of the cold cuts is $20 x 2 = $<<20*2=40>>40.
Therefore, Jasper spent $20 + $5 + $40 = $<<20+5+40=65>>65 on the ingredients.
Jasper spent $65 on the ingredients.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
14,Joy can read 8 pages of a book in 20 minutes. How many hours will it take her to read 120 pages?,"In one hour, there are 3 sets of 20 minutes.
So, Joy can read 8 x 3 = <<8*3=24>>24 pages in an hour.
It will take her 120/24 = <<120/24=5>>5 hours to read 120 pages.
#### 5","
Joy can read 8 pages of a book in 20 minutes.
So, it will take her 8*20 = <<8*20=160>>160 minutes to read 120 pages.
Therefore, it will take her 160/60 = <<160/60=2.5>>2.5 hours to read 120 pages.
So, it will take her 2.5*60 = <<2.5*60=150>>150 hours to read 120 pages.
Therefore, it will take her 150/60 = <<150/60=2.5>>2.5 days to read 120 pages.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
15,James creates a media empire.  He creates a movie for $2000.  Each DVD cost $6 to make.  He sells it for 2.5 times that much.  He sells 500 movies a day for 5 days a week.  How much profit does he make in 20 weeks?,"He sold each DVD for 6*2.5=$<<6*2.5=15>>15
So he makes a profit of 15-6=$<<15-6=9>>9
So each day he makes a profit of 9*500=$<<9*500=4500>>4500
So he makes 4500*5=$<<4500*5=22500>>22,500
He makes 22,500*20=$<<22500*20=450000>>450,000
Then after the cost of creating the movie he has a profit of 450,000-2000=$<<450000-2000=448000>>448,000
#### 448000","
He makes $6*500=$<<6*500=3000>>3000 a day.
So he makes $3000*20=$<<3000*20=60000>>60,000 a week.
So he makes $60,000*5=$<<60000*5=300000>>300,000 a week.
So he makes $300,000*20=$<<300000*20=600000>>600,000 a week.
So he makes $600,000/week*2=$<<600000*2=1200000>>1,200,000 a week.
So he makes $1,200,000/week*2=$<<1200000*2=2400000>>2,400,000 a week.
So he makes $2,400,000/week*2=$<<2400000*2=48000000>>4,800,000 a week.
So he makes $4,800,000/week*2=$<<48000000*2=96000000>>9,600,000 a week.
So he makes $9,600,000/week*2=$<<96000000*2=18400000>>18,400,000 a week.
So he makes $18,400,000/week*2=$<<18400000*2=36800000>>36,800,000 a week.
So he makes $36,800,000/week*2=$<<36800000*2=73600000>>7,360,000 a week.
So he makes $7,360,000/week*2=$<<73600000*2=145600000>>14,560,000 a week.
So he makes $14,560,000/week*2=$<<145600000*2=292160000>>29,216,000 a week.
So he makes $29,216,000/week*2=$<<292160000*2=584416000>>58,432,000 a week.
So he makes $58,432,000/week*2=$<<584416000*2=1188160000>>118,816,000 a week.
So he makes $118,816,000/week*2=$<<1188816000*2=2359344000>>235,934,000 a week.
",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
16,"The profit from a business transaction is shared among 2 business partners, Mike and Johnson in the ratio 2:5 respectively. If Johnson got $2500, how much will Mike have after spending some of his share on a shirt that costs $200?","According to the ratio, for every 5 parts that Johnson gets, Mike gets 2 parts
Since Johnson got $2500, each part is therefore $2500/5 = $<<2500/5=500>>500
Mike will get 2*$500 = $<<2*500=1000>>1000
After buying the shirt he will have $1000-$200 = $<<1000-200=800>>800 left
#### 800","
Mike's share is 5/2=<<5/2=2.5>>2.5.
Mike's share after spending on the shirt is 2.5-200=<<2.5-200=2.5>>2.5-200.
Mike's share is 2.5-200=<<2.5-200=2>>2.
Mike will have 2500-2=<<2500-2=2400>>2400.
The total profit is 2500+2400=<<2500+2400=4900>>4900.
The total profit is 4900/2=<<4900/2=2450>>2450.
Johnson got 2500/5=<<2500/5=500>>500.
Mike's share is 500/2=<<500/2=250>>250.
Mike's share is 250-200=<<250-200=50>>50.
Mike will have 2500-50=<<2500-50=2450>>2450.
The total profit is 2450/2=<<2450/2=1225>>1225.
Johnson got 500/5=<<500/5=100>>100.
Mike's share is 100/2=<<100/2=50>>50.
Mike's share is 50-200=<<50-200=30>>30.
Mike will have 2500-30=<<2500-30=2470>>2470.
The total profit is 2470/2=<<2470/2=1285>>1285.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
17,"In a truck, there are 26 pink hard hats, 15 green hard hats, and 24 yellow hard hats.  If Carl takes away 4 pink hard hats, and John takes away 6 pink hard hats and twice as many green hard hats as the number of pink hard hats that he removed, then calculate the total number of hard hats that remained in the truck.","If there were 26 pink hard hats and Carl took away 4 pink hard hats, the number of pink hard hats that remained is 26-4 = <<26-4=22>>22
John also took away 6 pink hard hats, leaving 22-6 = <<22-6=16>>16 pink hard hats in the truck.
If John also took twice as many green hard hats as pink hard hats, he took 2*6 = <<6*2=12>>12 green hard hats.
The total number of green hard hats that remained in the truck is 15-12 = <<15-12=3>>3
In the truck, after some are taken, there were 3 green hard hats + 16 pink hard hats = <<3+16=19>>19 hard hats in the truck.
Altogether, 19 green and pink hard hats + 24 yellow hards hats = <<19+24=43>>43 hard hats remained in the truck
#### 43","
First find the number of green hard hats that John took away: 15 pink hard hats - 4 pink hard hats = <<15-4=11>>11 green hard hats
Then find the total number of green hard hats that John took away: 11 green hard hats * 2 = <<11*2=22>>22 green hard hats
Then find the total number of hard hats that John took away: 11 green hard hats + 22 green hard hats = <<11+22=33>>33 hard hats
Then subtract the number of hard hats that John took away from the total number of hard hats: 26 pink hard hats + 15 green hard hats + 24 yellow hard hats - 33 hard hats = <<26+15+24-33=6>>6 hard hats
Then add the number of hard hats that Carl took away to find the total number of hard hats that remained: 6 hard hats + 4 hard hats = <<6+4=10>>10 hard hats
Then add the number of hard hats that John took away to find the total number of hard hats that remained: 10 hard hats + 6 hard hats = <<10+6=16>>16 hard hats
Then add the number of hard hats that Carl took away to find the total number of hard hats that remained: 16 hard hats + 4 hard hats = <<16+4=20>>20 hard hats
Then add the number of hard hats that John took away to find the total number of hard hats that remained: 20 hard hats + 6 hard hats = <<20+6=26>>26 hard hats
Then add the number of hard hats that Carl took away to find the total number of hard hats that remained: 26 hard hats + 4 hard hats = <<26+4=30>>30 hard hats
Then add the number of hard hats that John took away to find the total number of hard hats that remained: 30 hard hats + 6 hard hats = <<30+6=36>>36 hard hats
Then add the number of hard hats that Carl took away to find the total number of hard hats that remained: 36 hard hats + 4 hard hats = <<36+4=40>>40 hard hats
Then add the number of hard hats that John took away to find the total number of hard hats that remained: 40 hard hats + 6 hard hats = <<40+6=46>>46 hard hats
Then add the number of hard hats that Carl took away to find the total number",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
18,It takes Roque two hours to walk to work and one hour to ride his bike to work. Roque walks to and from work three times a week and rides his bike to and from work twice a week. How many hours in total does he take to get to and from work a week with walking and biking?,"Roque takes 2*3 = <<2*3=6>>6 hours a week to walk to work.
Roque takes 6*2 = <<6*2=12>>12 hours a week to walk to and from work.
Roque takes 1*2 = <<1*2=2>>2 hours a week to bike to work.
Roque takes 2*2 = <<2*2=4>>4 hours a week to bike to and from work.
In total, Roque takes 12+4 = <<12+4=16>>16 hour a week to go to and from work.
#### 16","
Roque walks to and from work three times a week and rides his bike to and from work twice a week.
Roque walks to and from work 3*2=<<3*2=6>>6 times a week.
Roque rides his bike to and from work 2*2=<<2*2=4>>4 times a week.
Roque takes 6+4=<<6+4=10>>10 hours to get to and from work a week.
Roque takes 10*2=<<10*2=20>>20 hours a week to get to and from work with walking and biking.
Roque takes 20*7=<<20*7=140>>140 hours a week to get to and from work.
Roque takes 140*2=<<140*2=280>>280 hours a month to get to and from work.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
19,Tim rides his bike back and forth to work for each of his 5 workdays.  His work is 20 miles away.  He also goes for a weekend bike ride of 200 miles.    If he can bike at 25 mph how much time does he spend biking a week?,"He bikes 20*2=<<20*2=40>>40 miles each day for work
So he bikes 40*5=<<40*5=200>>200 miles for work
That means he bikes a total of 200+200=<<200+200=400>>400 miles for work
So he bikes a total of 400/25=<<400/25=16>>16 hours
#### 16","
He spends 5*20=<<5*20=100>>100 minutes biking to work.
He spends 200/25=<<200/25=8>>8 hours biking for the weekend ride.
So he spends 100+8=<<100+8=108>>108 minutes biking a week.
So he spends 108/60=<<108/60=1.8>>1.8 hours biking a week.
So he spends 1.8*60=<<1.8*60=108>>108 minutes biking a week.
So he spends 108/60=<<108/60=1.8>>1.8 hours biking a week.",/mnt/workdisk/kartik/saved_ckpts/mpt-7b-base-gsm8k-ft,train
